"Species","Year","Rate","PARAMETER","param.descr","value"
"CALT",2005,20.5215904232578,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.34
"CALT",2005,20.5215904232578,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.67
"CALT",2005,20.5215904232578,"WS2M","Wind Speed at 2 Meters (m/s) ",1.65
"CALT",2005,20.5215904232578,"WS10M","Wind Speed at 10 Meters (m/s) ",2.89
"CALT",2005,20.5215904232578,NA,"Populationpersons",1675312
"CALT",2005,20.5215904232578,NA,"Percapitapersonalincome",53433
"CALT",2005,20.5215904232578,NA,"Farmproprietorsincome",34964
"CALT",2005,20.5215904232578,NA,"Nonfarmproprietorsincome",6863366
"CALT",2005,20.5215904232578,NA,"Farmproprietorsemployment",850
"CALT",2005,20.5215904232578,NA,"Nonfarmproprietorsemployment",196156
"CALT",2006,19.4486313025721,"PRECTOT","Precipitation (mm day-1) ",523.96
"CALT",2006,19.4486313025721,"RH2M","Relative Humidity at 2 Meters (%) ",70.24
"CALT",2006,19.4486313025721,"T2M","Temperature at 2 Meters (C) ",13.85
"CALT",2006,19.4486313025721,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.03
"CALT",2006,19.4486313025721,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.46
"CALT",2006,19.4486313025721,"PS","Surface Pressure (kPa) ",98.84
"CALT",2006,19.4486313025721,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.86
"CALT",2006,19.4486313025721,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.5
"CALT",2006,19.4486313025721,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.23
"CALT",2006,19.4486313025721,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.59
"CALT",2006,19.4486313025721,"WS2M","Wind Speed at 2 Meters (m/s) ",1.62
"CALT",2006,19.4486313025721,"WS10M","Wind Speed at 10 Meters (m/s) ",2.82
"CALT",2006,19.4486313025721,NA,"Populationpersons",1691159
"CALT",2006,19.4486313025721,NA,"Percapitapersonalincome",58389
"CALT",2006,19.4486313025721,NA,"Farmproprietorsincome",34981
"CALT",2006,19.4486313025721,NA,"Nonfarmproprietorsincome",7584723
"CALT",2006,19.4486313025721,NA,"Farmproprietorsemployment",829
"CALT",2006,19.4486313025721,NA,"Nonfarmproprietorsemployment",201926
"CALT",2007,17.5674884363827,"PRECTOT","Precipitation (mm day-1) ",278.14
"CALT",2007,17.5674884363827,"RH2M","Relative Humidity at 2 Meters (%) ",66.03
"CALT",2007,17.5674884363827,"T2M","Temperature at 2 Meters (C) ",13.74
"CALT",2007,17.5674884363827,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.5
"CALT",2007,17.5674884363827,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.06
"CALT",2007,17.5674884363827,"PS","Surface Pressure (kPa) ",98.91
"CALT",2007,17.5674884363827,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"CALT",2007,17.5674884363827,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.6
"CALT",2007,17.5674884363827,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.41
"CALT",2007,17.5674884363827,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.71
"CALT",2007,17.5674884363827,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"CALT",2007,17.5674884363827,"WS10M","Wind Speed at 10 Meters (m/s) ",2.97
"CALT",2007,17.5674884363827,NA,"Populationpersons",1712026
"CALT",2007,17.5674884363827,NA,"Percapitapersonalincome",62558
"CALT",2007,17.5674884363827,NA,"Farmproprietorsincome",32235
"CALT",2007,17.5674884363827,NA,"Nonfarmproprietorsincome",7385560
"CALT",2007,17.5674884363827,NA,"Farmproprietorsemployment",878
"CALT",2007,17.5674884363827,NA,"Nonfarmproprietorsemployment",217987
"CALT",2008,19.2682352470433,"PRECTOT","Precipitation (mm day-1) ",435.18
"CALT",2008,19.2682352470433,"RH2M","Relative Humidity at 2 Meters (%) ",65.88
"CALT",2008,19.2682352470433,"T2M","Temperature at 2 Meters (C) ",13.93
"CALT",2008,19.2682352470433,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.72
"CALT",2008,19.2682352470433,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.19
"CALT",2008,19.2682352470433,"PS","Surface Pressure (kPa) ",98.86
"CALT",2008,19.2682352470433,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.93
"CALT",2008,19.2682352470433,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.66
"CALT",2008,19.2682352470433,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.51
"CALT",2008,19.2682352470433,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.7
"CALT",2008,19.2682352470433,"WS2M","Wind Speed at 2 Meters (m/s) ",1.73
"CALT",2008,19.2682352470433,"WS10M","Wind Speed at 10 Meters (m/s) ",3.01
"CALT",2008,19.2682352470433,NA,"Populationpersons",1740964
"CALT",2008,19.2682352470433,NA,"Percapitapersonalincome",61503
"CALT",2008,19.2682352470433,NA,"Farmproprietorsincome",32626
"CALT",2008,19.2682352470433,NA,"Nonfarmproprietorsincome",7518520
"CALT",2008,19.2682352470433,NA,"Farmproprietorsemployment",868
"CALT",2008,19.2682352470433,NA,"Nonfarmproprietorsemployment",217985
"CALT",2009,24.5742616900928,"PRECTOT","Precipitation (mm day-1) ",518.36
"CALT",2009,24.5742616900928,"RH2M","Relative Humidity at 2 Meters (%) ",67.84
"CALT",2009,24.5742616900928,"T2M","Temperature at 2 Meters (C) ",13.77
"CALT",2009,24.5742616900928,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.23
"CALT",2009,24.5742616900928,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.29
"CALT",2009,24.5742616900928,"PS","Surface Pressure (kPa) ",98.83
"CALT",2009,24.5742616900928,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.95
"CALT",2009,24.5742616900928,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.6
"CALT",2009,24.5742616900928,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.4
"CALT",2009,24.5742616900928,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.76
"CALT",2009,24.5742616900928,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"CALT",2009,24.5742616900928,"WS10M","Wind Speed at 10 Meters (m/s) ",2.98
"CALT",2009,24.5742616900928,NA,"Populationpersons",1765137
"CALT",2009,24.5742616900928,NA,"Percapitapersonalincome",57097
"CALT",2009,24.5742616900928,NA,"Farmproprietorsincome",78208
"CALT",2009,24.5742616900928,NA,"Nonfarmproprietorsincome",8217456
"CALT",2009,24.5742616900928,NA,"Farmproprietorsemployment",855
"CALT",2009,24.5742616900928,NA,"Nonfarmproprietorsemployment",222801
"CALT",2010,20.2440533084297,"PRECTOT","Precipitation (mm day-1) ",741.15
"CALT",2010,20.2440533084297,"RH2M","Relative Humidity at 2 Meters (%) ",72.52
"CALT",2010,20.2440533084297,"T2M","Temperature at 2 Meters (C) ",13.32
"CALT",2010,20.2440533084297,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.1
"CALT",2010,20.2440533084297,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.26
"CALT",2010,20.2440533084297,"PS","Surface Pressure (kPa) ",98.75
"CALT",2010,20.2440533084297,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.94
"CALT",2010,20.2440533084297,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.62
"CALT",2010,20.2440533084297,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.43
"CALT",2010,20.2440533084297,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.73
"CALT",2010,20.2440533084297,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"CALT",2010,20.2440533084297,"WS10M","Wind Speed at 10 Meters (m/s) ",2.96
"CALT",2010,20.2440533084297,NA,"Populationpersons",1786079
"CALT",2010,20.2440533084297,NA,"Percapitapersonalincome",61330
"CALT",2010,20.2440533084297,NA,"Farmproprietorsincome",81441
"CALT",2010,20.2440533084297,NA,"Nonfarmproprietorsincome",9032788
"CALT",2010,20.2440533084297,NA,"Farmproprietorsemployment",849
"CALT",2010,20.2440533084297,NA,"Nonfarmproprietorsemployment",221813
"CALT",2011,26.0610573369135,"PRECTOT","Precipitation (mm day-1) ",491.5
"CALT",2011,26.0610573369135,"RH2M","Relative Humidity at 2 Meters (%) ",71.22
"CALT",2011,26.0610573369135,"T2M","Temperature at 2 Meters (C) ",12.99
"CALT",2011,26.0610573369135,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.07
"CALT",2011,26.0610573369135,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",7.76
"CALT",2011,26.0610573369135,"PS","Surface Pressure (kPa) ",98.86
"CALT",2011,26.0610573369135,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.93
"CALT",2011,26.0610573369135,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.59
"CALT",2011,26.0610573369135,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.38
"CALT",2011,26.0610573369135,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.72
"CALT",2011,26.0610573369135,"WS2M","Wind Speed at 2 Meters (m/s) ",1.69
"CALT",2011,26.0610573369135,"WS10M","Wind Speed at 10 Meters (m/s) ",2.95
"CALT",2011,26.0610573369135,NA,"Populationpersons",1812166
"CALT",2011,26.0610573369135,NA,"Percapitapersonalincome",66406
"CALT",2011,26.0610573369135,NA,"Farmproprietorsincome",69231
"CALT",2011,26.0610573369135,NA,"Nonfarmproprietorsincome",9665331
"CALT",2011,26.0610573369135,NA,"Farmproprietorsemployment",837
"CALT",2011,26.0610573369135,NA,"Nonfarmproprietorsemployment",227959
"CALT",2012,37.2911819648808,"PRECTOT","Precipitation (mm day-1) ",625.06
"CALT",2012,37.2911819648808,"RH2M","Relative Humidity at 2 Meters (%) ",66.86
"CALT",2012,37.2911819648808,"T2M","Temperature at 2 Meters (C) ",13.82
"CALT",2012,37.2911819648808,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.4
"CALT",2012,37.2911819648808,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.17
"CALT",2012,37.2911819648808,"PS","Surface Pressure (kPa) ",98.85
"CALT",2012,37.2911819648808,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.96
"CALT",2012,37.2911819648808,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.72
"CALT",2012,37.2911819648808,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.59
"CALT",2012,37.2911819648808,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.75
"CALT",2012,37.2911819648808,"WS2M","Wind Speed at 2 Meters (m/s) ",1.77
"CALT",2012,37.2911819648808,"WS10M","Wind Speed at 10 Meters (m/s) ",3.07
"CALT",2012,37.2911819648808,NA,"Populationpersons",1838370
"CALT",2012,37.2911819648808,NA,"Percapitapersonalincome",72792
"CALT",2012,37.2911819648808,NA,"Farmproprietorsincome",94360
"CALT",2012,37.2911819648808,NA,"Nonfarmproprietorsincome",10271124
"CALT",2012,37.2911819648808,NA,"Farmproprietorsemployment",820
"CALT",2012,37.2911819648808,NA,"Nonfarmproprietorsemployment",228762
"CALT",2013,41.1726583025475,"PRECTOT","Precipitation (mm day-1) ",120.46
"CALT",2013,41.1726583025475,"RH2M","Relative Humidity at 2 Meters (%) ",63.67
"CALT",2013,41.1726583025475,"T2M","Temperature at 2 Meters (C) ",14.04
"CALT",2013,41.1726583025475,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.97
"CALT",2013,41.1726583025475,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.25
"CALT",2013,41.1726583025475,"PS","Surface Pressure (kPa) ",98.88
"CALT",2013,41.1726583025475,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.91
"CALT",2013,41.1726583025475,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.57
"CALT",2013,41.1726583025475,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.36
"CALT",2013,41.1726583025475,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.67
"CALT",2013,41.1726583025475,"WS2M","Wind Speed at 2 Meters (m/s) ",1.67
"CALT",2013,41.1726583025475,"WS10M","Wind Speed at 10 Meters (m/s) ",2.91
"CALT",2013,41.1726583025475,NA,"Populationpersons",1867302
"CALT",2013,41.1726583025475,NA,"Percapitapersonalincome",72927
"CALT",2013,41.1726583025475,NA,"Farmproprietorsincome",105915
"CALT",2013,41.1726583025475,NA,"Nonfarmproprietorsincome",10035449
"CALT",2013,41.1726583025475,NA,"Farmproprietorsemployment",834
"CALT",2013,41.1726583025475,NA,"Nonfarmproprietorsemployment",233578
"CALT",2014,57.7703399558544,"PRECTOT","Precipitation (mm day-1) ",559.98
"CALT",2014,57.7703399558544,"RH2M","Relative Humidity at 2 Meters (%) ",65.03
"CALT",2014,57.7703399558544,"T2M","Temperature at 2 Meters (C) ",15.67
"CALT",2014,57.7703399558544,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",23.41
"CALT",2014,57.7703399558544,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",10.01
"CALT",2014,57.7703399558544,"PS","Surface Pressure (kPa) ",98.81
"CALT",2014,57.7703399558544,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.89
"CALT",2014,57.7703399558544,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.57
"CALT",2014,57.7703399558544,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.33
"CALT",2014,57.7703399558544,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.61
"CALT",2014,57.7703399558544,"WS2M","Wind Speed at 2 Meters (m/s) ",1.63
"CALT",2014,57.7703399558544,"WS10M","Wind Speed at 10 Meters (m/s) ",2.84
"CALT",2014,57.7703399558544,NA,"Populationpersons",1892984
"CALT",2014,57.7703399558544,NA,"Percapitapersonalincome",79055
"CALT",2014,57.7703399558544,NA,"Farmproprietorsincome",115041
"CALT",2014,57.7703399558544,NA,"Nonfarmproprietorsincome",10592419
"CALT",2014,57.7703399558544,NA,"Farmproprietorsemployment",800
"CALT",2014,57.7703399558544,NA,"Nonfarmproprietorsemployment",238672
"CALT",2015,45.5336815320745,"PRECTOT","Precipitation (mm day-1) ",302.7
"CALT",2015,45.5336815320745,"RH2M","Relative Humidity at 2 Meters (%) ",67.94
"CALT",2015,45.5336815320745,"T2M","Temperature at 2 Meters (C) ",15.1
"CALT",2015,45.5336815320745,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",22.42
"CALT",2015,45.5336815320745,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.76
"CALT",2015,45.5336815320745,"PS","Surface Pressure (kPa) ",98.83
"CALT",2015,45.5336815320745,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.89
"CALT",2015,45.5336815320745,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.51
"CALT",2015,45.5336815320745,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.24
"CALT",2015,45.5336815320745,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.6
"CALT",2015,45.5336815320745,"WS2M","Wind Speed at 2 Meters (m/s) ",1.62
"CALT",2015,45.5336815320745,"WS10M","Wind Speed at 10 Meters (m/s) ",2.81
"CALT",2015,45.5336815320745,NA,"Populationpersons",1917481
"CALT",2015,45.5336815320745,NA,"Percapitapersonalincome",86188
"CALT",2015,45.5336815320745,NA,"Farmproprietorsincome",195080
"CALT",2015,45.5336815320745,NA,"Nonfarmproprietorsincome",11082780
"CALT",2015,45.5336815320745,NA,"Farmproprietorsemployment",798
"CALT",2015,45.5336815320745,NA,"Nonfarmproprietorsemployment",250472
"CALT",2016,47.7835039712041,"PRECTOT","Precipitation (mm day-1) ",643.39
"CALT",2016,47.7835039712041,"RH2M","Relative Humidity at 2 Meters (%) ",70.72
"CALT",2016,47.7835039712041,"T2M","Temperature at 2 Meters (C) ",14.55
"CALT",2016,47.7835039712041,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.6
"CALT",2016,47.7835039712041,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.24
"CALT",2016,47.7835039712041,"PS","Surface Pressure (kPa) ",98.86
"CALT",2016,47.7835039712041,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"CALT",2016,47.7835039712041,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.61
"CALT",2016,47.7835039712041,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.42
"CALT",2016,47.7835039712041,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.69
"CALT",2016,47.7835039712041,"WS2M","Wind Speed at 2 Meters (m/s) ",1.69
"CALT",2016,47.7835039712041,"WS10M","Wind Speed at 10 Meters (m/s) ",2.95
"CALT",2016,47.7835039712041,NA,"Populationpersons",1929581
"CALT",2016,47.7835039712041,NA,"Percapitapersonalincome",92505
"CALT",2016,47.7835039712041,NA,"Farmproprietorsincome",184309
"CALT",2016,47.7835039712041,NA,"Nonfarmproprietorsincome",11798880
"CALT",2016,47.7835039712041,NA,"Farmproprietorsemployment",774
"CALT",2016,47.7835039712041,NA,"Nonfarmproprietorsemployment",254901
"CALT",2017,43.1836534056279,"PRECTOT","Precipitation (mm day-1) ",716.61
"CALT",2017,43.1836534056279,"RH2M","Relative Humidity at 2 Meters (%) ",67.4
"CALT",2017,43.1836534056279,"T2M","Temperature at 2 Meters (C) ",14.75
"CALT",2017,43.1836534056279,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.92
"CALT",2017,43.1836534056279,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.37
"CALT",2017,43.1836534056279,"PS","Surface Pressure (kPa) ",98.81
"CALT",2017,43.1836534056279,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"CALT",2017,43.1836534056279,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.6
"CALT",2017,43.1836534056279,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.42
"CALT",2017,43.1836534056279,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.68
"CALT",2017,43.1836534056279,"WS2M","Wind Speed at 2 Meters (m/s) ",1.68
"CALT",2017,43.1836534056279,"WS10M","Wind Speed at 10 Meters (m/s) ",2.95
"CALT",2017,43.1836534056279,NA,"Populationpersons",1933383
"CALT",2017,43.1836534056279,NA,"Percapitapersonalincome",100177
"CALT",2017,43.1836534056279,NA,"Farmproprietorsincome",166661
"CALT",2017,43.1836534056279,NA,"Nonfarmproprietorsincome",13496231
"CALT",2017,43.1836534056279,NA,"Farmproprietorsemployment",767
"CALT",2017,43.1836534056279,NA,"Nonfarmproprietorsemployment",263510
"FOSP",1996,146.838885112169,"PRECTOT","Precipitation (mm day-1) ",847.76
"FOSP",1996,146.838885112169,"RH2M","Relative Humidity at 2 Meters (%) ",68.96
"FOSP",1996,146.838885112169,"T2M","Temperature at 2 Meters (C) ",14.56
"FOSP",1996,146.838885112169,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.84
"FOSP",1996,146.838885112169,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.01
"FOSP",1996,146.838885112169,"PS","Surface Pressure (kPa) ",98.8
"FOSP",1996,146.838885112169,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.9
"FOSP",1996,146.838885112169,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.68
"FOSP",1996,146.838885112169,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.56
"FOSP",1996,146.838885112169,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.69
"FOSP",1996,146.838885112169,"WS2M","Wind Speed at 2 Meters (m/s) ",1.71
"FOSP",1996,146.838885112169,"WS10M","Wind Speed at 10 Meters (m/s) ",3.01
"FOSP",1996,146.838885112169,NA,"Populationpersons",1608695
"FOSP",1996,146.838885112169,NA,"Percapitapersonalincome",34005
"FOSP",1996,146.838885112169,NA,"Farmproprietorsincome",30198
"FOSP",1996,146.838885112169,NA,"Nonfarmproprietorsincome",4126742
"FOSP",1996,146.838885112169,NA,"Farmproprietorsemployment",1140
"FOSP",1996,146.838885112169,NA,"Nonfarmproprietorsemployment",176001
"FOSP",1997,191.296030607365,"PRECTOT","Precipitation (mm day-1) ",498.01
"FOSP",1997,191.296030607365,"RH2M","Relative Humidity at 2 Meters (%) ",68.92
"FOSP",1997,191.296030607365,"T2M","Temperature at 2 Meters (C) ",14.59
"FOSP",1997,191.296030607365,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",22.01
"FOSP",1997,191.296030607365,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.98
"FOSP",1997,191.296030607365,"PS","Surface Pressure (kPa) ",98.81
"FOSP",1997,191.296030607365,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",1
"FOSP",1997,191.296030607365,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.78
"FOSP",1997,191.296030607365,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.71
"FOSP",1997,191.296030607365,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.89
"FOSP",1997,191.296030607365,"WS2M","Wind Speed at 2 Meters (m/s) ",1.81
"FOSP",1997,191.296030607365,"WS10M","Wind Speed at 10 Meters (m/s) ",3.17
"FOSP",1997,191.296030607365,NA,"Populationpersons",1637414
"FOSP",1997,191.296030607365,NA,"Percapitapersonalincome",37053
"FOSP",1997,191.296030607365,NA,"Farmproprietorsincome",46862
"FOSP",1997,191.296030607365,NA,"Nonfarmproprietorsincome",4835677
"FOSP",1997,191.296030607365,NA,"Farmproprietorsemployment",1160
"FOSP",1997,191.296030607365,NA,"Nonfarmproprietorsemployment",174912
"FOSP",1998,171.842395973978,"PRECTOT","Precipitation (mm day-1) ",899.91
"FOSP",1998,171.842395973978,"RH2M","Relative Humidity at 2 Meters (%) ",74.22
"FOSP",1998,171.842395973978,"T2M","Temperature at 2 Meters (C) ",13.37
"FOSP",1998,171.842395973978,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",19.71
"FOSP",1998,171.842395973978,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.5
"FOSP",1998,171.842395973978,"PS","Surface Pressure (kPa) ",98.77
"FOSP",1998,171.842395973978,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"FOSP",1998,171.842395973978,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.67
"FOSP",1998,171.842395973978,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.51
"FOSP",1998,171.842395973978,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.73
"FOSP",1998,171.842395973978,"WS2M","Wind Speed at 2 Meters (m/s) ",1.72
"FOSP",1998,171.842395973978,"WS10M","Wind Speed at 10 Meters (m/s) ",3.01
"FOSP",1998,171.842395973978,NA,"Populationpersons",1658960
"FOSP",1998,171.842395973978,NA,"Percapitapersonalincome",39600
"FOSP",1998,171.842395973978,NA,"Farmproprietorsincome",48424
"FOSP",1998,171.842395973978,NA,"Nonfarmproprietorsincome",5172508
"FOSP",1998,171.842395973978,NA,"Farmproprietorsemployment",1161
"FOSP",1998,171.842395973978,NA,"Nonfarmproprietorsemployment",182029
"FOSP",1999,185.436071110463,"PRECTOT","Precipitation (mm day-1) ",457.46
"FOSP",1999,185.436071110463,"RH2M","Relative Humidity at 2 Meters (%) ",67.86
"FOSP",1999,185.436071110463,"T2M","Temperature at 2 Meters (C) ",13.3
"FOSP",1999,185.436071110463,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.82
"FOSP",1999,185.436071110463,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",7.79
"FOSP",1999,185.436071110463,"PS","Surface Pressure (kPa) ",98.92
"FOSP",1999,185.436071110463,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.97
"FOSP",1999,185.436071110463,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.62
"FOSP",1999,185.436071110463,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.44
"FOSP",1999,185.436071110463,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.78
"FOSP",1999,185.436071110463,"WS2M","Wind Speed at 2 Meters (m/s) ",1.74
"FOSP",1999,185.436071110463,"WS10M","Wind Speed at 10 Meters (m/s) ",3.03
"FOSP",1999,185.436071110463,NA,"Populationpersons",1671498
"FOSP",1999,185.436071110463,NA,"Percapitapersonalincome",44124
"FOSP",1999,185.436071110463,NA,"Farmproprietorsincome",48078
"FOSP",1999,185.436071110463,NA,"Nonfarmproprietorsincome",5242916
"FOSP",1999,185.436071110463,NA,"Farmproprietorsemployment",1141
"FOSP",1999,185.436071110463,NA,"Nonfarmproprietorsemployment",175794
"FOSP",2000,194.461028606919,"PRECTOT","Precipitation (mm day-1) ",560.49
"FOSP",2000,194.461028606919,"RH2M","Relative Humidity at 2 Meters (%) ",70.42
"FOSP",2000,194.461028606919,"T2M","Temperature at 2 Meters (C) ",13.78
"FOSP",2000,194.461028606919,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.94
"FOSP",2000,194.461028606919,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.47
"FOSP",2000,194.461028606919,"PS","Surface Pressure (kPa) ",98.87
"FOSP",2000,194.461028606919,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.94
"FOSP",2000,194.461028606919,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.58
"FOSP",2000,194.461028606919,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.36
"FOSP",2000,194.461028606919,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.75
"FOSP",2000,194.461028606919,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"FOSP",2000,194.461028606919,"WS10M","Wind Speed at 10 Meters (m/s) ",2.97
"FOSP",2000,194.461028606919,NA,"Populationpersons",1684947
"FOSP",2000,194.461028606919,NA,"Percapitapersonalincome",54686
"FOSP",2000,194.461028606919,NA,"Farmproprietorsincome",134262
"FOSP",2000,194.461028606919,NA,"Nonfarmproprietorsincome",5835942
"FOSP",2000,194.461028606919,NA,"Farmproprietorsemployment",1123
"FOSP",2000,194.461028606919,NA,"Nonfarmproprietorsemployment",172999
"FOSP",2001,296.576597754224,"PRECTOT","Precipitation (mm day-1) ",628.37
"FOSP",2001,296.576597754224,"RH2M","Relative Humidity at 2 Meters (%) ",68.31
"FOSP",2001,296.576597754224,"T2M","Temperature at 2 Meters (C) ",14.06
"FOSP",2001,296.576597754224,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.47
"FOSP",2001,296.576597754224,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.49
"FOSP",2001,296.576597754224,"PS","Surface Pressure (kPa) ",98.81
